Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Limit	Format	Text
Byakugan Neji	CDIP	byakuganneji	Continuous Spell					1		Debes controlar a "Hyuga Neji" para activar esta carta. Una vez por turno, mientras esta carta permanezca activa en el campo, puedes seleccionar una carta magica/trampa boca abajo en el lado del campo de tu oponente. Volteala, y luego regresala a su posicion original. Si "Hyuga Neji" es destruido, envia esta carta al Cementerio.
Chakra de Kyubi	CP01	chakradekyubi	Normal Spell					1	 	Debes controlar a "Uzumaki Naruto" para activar esta carta. Debes pagar 500 puntos de vida para activar este efecto. Puedes robar hasta 6 cartas de la parte superior de tu mazo. En adicion, puedes sacrificar 1 carta de "Uzumaki Naruto" para invocar de forma especial, desde tu mazo o mano, a "Kyubi Naruto".Regalo de Maldicion	CP02	regalodemaldicion	Normal Spell					1		Busca en tu mazo una carta de "Ten no Juin" y añadela a tu mano. Mezcla el mazo.
Shishi Rendan	CP03	ShishiRendan	Normal Spell					3		Incrementa los puntos de ATK de "Uchiha Sasuke" en 300 hasta el final de la fase de batalla.

Daisan no Me	CP04	daisannome	Normal Spell					2	 	Espia 1 carta de la parte superior del mazo del oponente.

Omote Renge	CP04	omoterenge	Normal Spell					3		Debes tener la carta "Hachimon Tonko" activa en el campo con al menos 1 "Contador de Puerta" para poder activar esta carta. Incrementa en 500 puntos el ATK de "Rock Lee" hasta el final del turno en el que fue activada esta carta.

Examinacion	CP04	examinacion	Normal Spell					2		Tu oponente debe mostrar su mano. Selecciona hasta 3 cartas de ninja de tipo "Genin" (sin importar su aldea) con diferentes nombres y quitalas del juego. Si "Bosque de la Muerte" o "Torre del Bosque" se encuentran activas en el campo, no puedes activar esta carta.
Gatsuga	CP05	Gatsuga	Normal Spell					3		Mientras "Inuzuka Kiba" y "Akamaru" esten equipados con "Shikyaku no Jutsu" y "Jujin Bunshin" respectivamente, puedes activar esta carta magica. Incrementa el ATK de "Inuzuka Kiba" y "Akamaru" en 400 puntos. Cuando atacan a una carta de ninja del oponente, inflige un daño extra a los LP del oponente equivalente a la mitad de los puntos de ATK de ambos.

Kage Senbon Bunshin no Jutsu	CP06	KageSenbonBunshinNoJutsu	Continuous Spell					2		Mientras esta carta este activa en el campo, puedes activar la carta "Hari no Sakkaku". Una vez por turno, durante tu Standby Phase, puedes activar cualquiera de los siguientes efectos: *Añade 1 "Hari no Sakkaku" de tu Mazo a tu Mano. *Añade 1 "Hari no Sakkaku" de tu Cementerio a tu Mano
Hachimon Tonko	CP05	hachimon	Continuous Spell					1		En cada una de tus Main Phase, puedes colocar 1 "Contador de Puerta" en esta carta: incrementa el ATK de "Rock Lee" en 500 puntos por cada contador que hayas colocado. Debes pagar 500 LP cada vez que actives este efecto. Solo puedes activar este efecto 8 veces. Si "Rock Lee" es destruido, descarta todos los "Contadores de Puerta" unidos a esta carta.
Kage Buyo	CP06	kagebusho	Normal Spell					1	 	Puedes buscar desde tu mazo una carta de "Omote Renge", "Shishi Rendan", o "Ura Renge", y añadirlas a tu mano. Luego mezcla el mazo.
Hari no Sakkaku	CP06	harinosakaku	Normal Trap					3		Solo puedes activar esta carta si "Kage Senbon Bunshin no Jutsu" se encuentra activa en tu lado del campo. Lanza una moneda a Cara o Cruz. Si el resultado es "Cara", "Tsuchi Kin" no podra ser declarada como objetivo de ataques de ninjas del oponente.Shikyaku no Jutsu	CP06	Shikyaku	Equip Spell					1		Solo puedes equipar esta carta a "Inuzuka Kiba". Este gana 400 puntos de ATK.
Jouro Senbon	CP05	Jouro	Normal Trap					3	 	Sólo puedes activar esta carta si controlas a "Shigure". Inflige 500 puntos de daño directo a los LP del oponente.
Jujin Bunshin	CP07	Jujin	Equip Spell					1		Solo puedes activar esta carta si controlas a "Inuzuka Kiba" equipado con "Shikyaku no Jutsu". Equipa con esta carta a "Akamaru". Copia los puntos de ATK y DEF de una carta de "Inuzuka Kiba" que controles. Si "Inuzuka Kiba" o "Shikyaku no Jutsu" abandonan el campo, envia esta carta al Cementerio.Juken	CP07	juken	Normal Spell					3		Solo puedes activar esta carta si "Hyuga Hinata" o "Hyuga Neji" se encuentran en tu lado del campo. Selecciona una carta de ninja que tu oponente controle. No podra activar su efecto durante el proximo turno de tu oponente.

Juken	CP07	juken	Normal Spell					3		Solo puedes activar esta carta si "Hyuga Hinata" o "Hyuga Neji" se encuentran en tu lado del campo. Selecciona una carta de ninja que tu oponente controle. No podra activar su efecto durante el proximo turno de tu oponente.

Suna no Tate	CRMS	sunanotate	Quick-Play Spell					1		Puedes activar esta carta cuando una carta de ninja del oponente declara un ataque contra "Sabaku no Gaara". Reduce el daño de batalla de cartas de ninjas del oponente a 0 hasta el final de la fase de batalla del turno en el que es activada esta carta.
Suna Bunshin no Jutsu	CRMS	sunabunshin	Quick-Play Spell					2		Puedes activar esta carta cuando un ninja que controla tu oponente declara un ataque contra "Sabaku no Gaara". Una vez por turno, reduce todo el daño de batalla a 0. "Sabaku no Gaara" no podra ser seleccionado por efectos de cartas magicas/trampa del oponente durante el turno en el que es activada esta carta.Ten no Juin	CRMS	TenNoJuin	Quick-Play Spell					1		Puedes sacrificar 1 carta "Uchiha Sasuke" que controles en el campo. Invoca de forma especial, desde tu mazo o mano, a "Cursed Mark Sasuke #1".
Ura Renge	CRMS	urarenge	Normal Spell					2		Debes tener la carta "Hachimon Tonko" activa en el campo con al menos 3 "Contadores de Puerta" para poder activar esta carta. Incrementa en 1000 puntos el ATK de "Rock Lee" hasta el final del turno en el que fue activada esta carta.
Cursed Mark Sasuke #1	DR04	CursedMarkSasuke	Cursed Seal Shinobi/Efecto	Dark	6	1700	1950	1		Esta carta no puede ser invocada de modo normal. Debe ser invocada de modo especial por el efecto de "Ten no Juin". Esta carta no puede ser declarada por efectos de cartas de ninja. Durante la Battle Phase del turno de cualquier jugador, aumenta su ATK en 300 puntos.
Ten no Juin	CRMS	TenNoJuin	Quick-Play Spell					1		Puedes sacrificar 1 carta "Uchiha Sasuke" que controles en el campo. Invoca de forma especial, desde tu mazo o mano, a "Cursed Mark Sasuke #1".
Regalo de Maldicion	CP02	regalodemaldicion	Normal Spell					1		Busca en tu mazo una carta de "Ten no Juin" y añadela a tu mano. Mezcla el mazo.
Shikyaku no Jutsu	CP06	Shikyaku	Equip Spell					2		Equipa con esta carta a "Inuzuka Kiba". Aumenta su ATK en 300 puntos mientras esta carta este equipada a el.
Furia del Kyubi	CRMS	furiadelkyubi	Normal Spell					1		Solo puedes activar esta carta si controlas a "Kyubi Naruto". Selecciona 1 carta de "Makyo Hyosho" activa en el campo de tu oponente y destruyela.
Resistir hasta la muerte	CRMS	resistirhastalamuert	Quick-Play Spell					1		Cuando "Momochi Zabuza" recibe un ataque de un ninja del oponente que pueda destruirlo, activa esta carta. En vez de ser enviado al cementerio, permanece en el campo hasta el final de tu proximo turno. Luego es destruido.
Sacrificarse por un ser querido	CRMS	sacrificarseporun	Quick-Play Spell					1		Cuando "Momochi Zabuza" es declarado como objetivo para un ataque de un ninja del oponente, puedes activar esta carta. Selecciona una carta de "Haku" que controles en tu campo, y designala como nuevo objetivo del ataque del ninja enemigo. El daño de batalla se realiza normalmente.
Kage Shuriken no Jutsu	CRMS	kageshurikennojutsu	Quick-Play Spell					1		Descarta una carta de "Fuma Shuriken" equipada a "Uchiha Sasuke" para destruir una carta de "Suiro no Jutsu" en el campo del oponente.
Reemplazo de Marioneta	CRMS	reemplazodemarioneta	Normal Trap					3		Cuando un ninja de tu oponente ataca a "Sabaku no Kankuro", puedes seleccionar 1 carta de "Karasu" de tu mano e invocarla de forma especial en el campo: dirige el ataque hacia "Karasu" y reduce el daño de batalla a 0 hasta el fin de la fase de batalla. Si "Sabaku no Kankuro" es inmobilizado por el efecto de "Nan no Kaizo", destruyela.
Fuma Shuriken	CRMS	fumashuriken	Equip Spell					3		Equipa con esta carta a "Uchiha Sasuke". Incrementa su ATK en 600 puntos.
Kikaichu no Jutsu	CRMS	kikaichu	Quick-Play Spell					1		Debes controlar a "Aburame Shino" para activar esta carta. Busca en tu mazo una carta de "Mushi Bunshin no Jutsu" y añadela a tu mano. Mezcla el mazo.
Magen: Kokoni Arazu no Jutsu	CRMS	magenkokoni	Quick-Play Spell					1		Puedes activar esta carta cuando tu oponente declara la invocacion de una carta de tipo "Genin" de nivel 4 (de modo normal).Niega la invocacion de esa carta. Si "Bosque de la Muerte" o "Torre del Bosque" se encuentran activas en el campo, no puedes activar esta carta.
Nan no Kaizo	CRMS	NanNoKaizo	Continuous Trap					3		Solo puedes activar esta carta si controlas a "Tsurugi Misumi" en modo de ataque. Selecciona una carta de ninja que tu oponente controle. No podra atacar, cambiar su posicion de batalla, o ser retirado del campo. Mientras esta carta este activa en el campo, "Tsurugi Misumi" no podra atacar, cambiar su posicion de batalla o ser retirado del campo. Si "Tsurugi Misumi" es destruido, destruye esta carta tambien.
Prueba de Supervivencia	CRMS	pruebadesupervivencia	Normal Spell					1		Busca en tu mazo una carta de "Bosque de la Muerte" y añadela a tu mano. Luego mezcla el mazo.
Ronda de Combates	CRMS	rondadecombates	Continuous Spell					1		Solo puedes activar esta carta si "Torre del Bosque" y "Combates Preliminares" se encuentran activas en el campo. Una vez por turno, puedes robar 1 carta de "Panel de encuentro" o "Fin de los Preliminares". Luego mezcla el mazo.
Sharingan de Kakashi	CRMS	sharingankakashi	Quick-Play Spell					1		Solo puedes activar esta carta si controlas a "Hatake Kakashi". Cuando tu oponente activa una carta magica normal que en su nombre contenga "Jutsu", niega su activacion, y ponla en tu mano. Cuando el efecto de esta carta se resuelva, devuelvela a tu mano en vez de enviarla al cementerio.
Uzumaki Naruto Rendan	CRMS	uzumakirendan	Quick-Play Spell					3		Puedes activar esta carta cuando en tu lado del campo controles a "Uzumaki Naruto" y 4 "fichas clon de sombra". Durante tu fase de batalla, combina la mitad de los puntos de ATK de cada "ficha clon de sombra" que controles en posicion de ataque, para atacar a uno de los ninjas de tu oponente. Luego destruye todas las "fichas clon de sombra" que hayas utilizado.
Bosque de la Muerte	CRMS	bosquedelamuerte	Field Spell					1		Mientras esta carta permanezca activa en el campo, el ATK y la DEF de todos los ninjas de tipo "Genin" (sin importar su aldea) en 100 puntos. Ningun jugador podra invocar cartas de ninja que no sean del tipo "Genin" (excluye invocacion especial). Si antes de la activacion de esta carta ya habian cartas que no son del tipo "Genin" en el campo, dichas cartas son regresadas a la mano de su respectivo dueño.
Daisan Enshujo	CRMS	campodeentrenamiento	Continuous Spell					2		La carta "Konohagakure no Sato" debe estar activa en el campo. 1 vez por turno, mientras esta carta este activa en el campo, puedes sacrificar a 1 ninja de tipo "Konohagakure Genin" para invocar a otro ninja con el mismo nombre y de nivel superior. Esta invocacion cuenta como invocacion especial. Si "Konohagakure no Sato" abandona el campo, esta carta es destruida.
Ichiraku Ramen	CRMS	ichirakuramen	Continuous Spell					1		La carta "Konohagakure no Sato" debe estar activa en el campo. Durante tu Main Phase, puedes colocar 1 "Contador de Ramen" en esta carta. En cada una de tus Main Phases, puedes remover 1 "Contador de Ramen" para incrementar tus Life Points en 400 puntos. Si "Konohagakure no Sato" abandona el campo, esta carta es destruida.
Jonin Taikijo	CRMS	jonintaikijo	Continuous Spell					1		La carta "Konohagakure no Sato" debe estar activa en el campo. 1 vez por turno, mientras esta carta esta activa en el campo, puedes buscar en tu mazo una carta de tipo "Konohagakure Jonin" que se encuentre en tu mazo y añadela a tu mano. Si "Konohagakure no Sato" abandona el campo, esta carta es destruida.
Calabaza de Arena	CRMS	calabaza	Continuous Spell					1		Equipa esta carta a "Sabaku no Gaara". Una vez por turno, mientras esta carta siga equipada, busca desde tu Mazo o Cementerio 1 carta de "Suna no Yoroi", "Suna no Tate", o "Suna Bunshin no Jutsu", y añadela a tu mano.
Sensatsu Suisho	CRMS	sensatsu	Normal Trap					3		Durante la fase de batalla del turno de tu oponente, si un ninja declara un ataque contra "Haku", activa esta carta. Niega el ataque, y si lo haces, destruye al ninja enemigo.
Ficha Clon de Sombra	CRV	fichaclonsombra	Konohagakure Genin	Wind	3	1000	1000			Esta carta puede ser utilizada como ficha.
Ficha Clon de Niebla	CRV	fichaclonniebla	Amegakure Genin	Water	3	1000	1000			Esta carta puede ser utilizada como ficha.
Ficha Espejo	CRV	fichaespejo	Kirigakure ANBU	Water	1	1000	1000			Esta carta puede ser utilizada como ficha.
Kaze-kan	CRV	conductosdeaire	Normal Spell					2		Busca en tu mazo 1 carta de "Zankuha" o "Zankukyokuha" y añadela a tu mano. Mezcla el mazo.
Kikaichu	CRV	kikaichus	Quick-Play Spell					3		Debes controlar a "Aburame Shino" para poder activar esta carta. Durante la fase de batalla de tu oponente, cancela el ataque de 1 ninja que tu oponente controle. En adicion, el ninja seleccionado pierde 400 puntos de ATK.
Kuchiyose Makimono	DB2	kuchiyosemakimono	Continuous Spell					3		Selecciona 1 o mas cartas de equipamiento de armas de tu mazo, y destierralas. Mezcla el mazo. Una vez por turno, puedes seleccionar 1 o mas cartas desterradas por este efecto y traerlas a tu mano.
Soshoryu	DB2	soshoryu	Equip Spell					3		Equipa con esta carta a "Tenten". Incrementa su ATK en 300 puntos. Una vez por turno durante tu Battle Phase, lanza una moneda. Si el resultado es cara, incrementa el ATK en 200 puntos extra. Solo puedes equipar a "Tenten" con 1 carta de "Soshoryu" a la vez.
Pildoras de Soldado	DB2	pildorasdesoldado	Normal Spell					3		Busca en tu mazo 1 carta de "Shikyaku no Jutsu" o "Jujin Bunshin" y añadela a tu mano. Mezcla el mazo
Decima Pregunta	DR1	decimapregunta	Normal Trap					1		Debes declarar "Cara" o "Cruz". Tu oponente debe lanzar una moneda, si el resultado es contrario al designado, selecciona hasta 3 cartas de ninja de tipo "Genin" que tu oponente controle y destierralas. Si "Bosque de la Muerte" o "Torre del Bosque" se encuentran activas en el campo, no puedes activar esta carta.
Pergaminos del Cielo y la Tierra	DR1	pergaminos	Normal Trap					3		Solo puedes activar esta carta mientras "Bosque de la Muerte" este activa en el campo. Puedes activar esta carta para buscar en tu mazo 1 carta de "Torre del Bosque". Mezcla el mazo. Si el oponente voltea esta carta boca abajo por un efecto de una carta de ninja, magica, trampa, puedes seleccionar hasta 3 cartas de ninja que controle y destierralas.
Torre del Bosque	DR1	torredelbosque	Field Spell					1		Mientras esta carta permanezca activa en el campo, sólo se podran invocar cartas de ninja de tipo "Genin" (excluye invocacion especial). Si antes de la activacion de esta carta, ya habian cartas que no son del tipo "Genin" en el campo, dichas cartas son regresadas a la mano de su respectivo dueño. Una vez por turno, puedes añadir desde tu mazo a tu mano 1 carta de "Combates Preliminares". Luego mezcla el mazo
Bomba de humo venenosa	DR1	bomba_de_humo_venenosa	Continuous Trap					1		Debes controlar a "Karasu" para activar esta carta. Durante la Standby Phase del turno de cada jugador, los ninjas que el oponente controla pierden 200 puntos de ATK. Cuando tu oponente declara un ataque con una carta de ninja, debe lanzar una moneda a cara o cruz. Si el resultado es cruz, el ataque es cancelado
Contraataque de Marioneta	DR1	contraataque_de_marioneta	Normal Trap					1		Puedes activar esta carta cuando "Karasu" es declarado como objetivo del ataque de un oponente. Niega el ataque, y si lo haces, destruye al ninja atacante.Coffin Seller	DR1	CoffinSeller	Continuous Trap							Each time Monster Card(s) are sent to your opponent's Graveyard, inflict 300 damage to your opponent
Cuchilla con Veneno	DR1	cuchilla_con_veneno	Equip Spell					2		Solo puedes equipar esta carta a "Karasu". Mientras esta carta siga equipada, brinda el siguiente efecto: Puedes atacar a una carta de ninja del oponente sin realizar calculo de daño. El ninja atacado por "Karasu" perdera 200 puntos de ATK
Baki	DR2	baki	Sunagakure Jonin/Efecto	Wind	6	1850	2100	1		Esta carta solo puede ser invocada de forma especial teniendo a "Sabaku no Gaara", "Sabaku no Temari" y "Sabaku no Kankuro" en tu lado del campo. Una vez por turno, esta carta reduce el daño de batalla a 0. Añade desde tu mazo a tu mano 1 carta de "Kaze no Yaiba"
Kaze no Yaiba	DR1	kaze_no_yaiba	Normal Trap					1		Puedes activar esta carta cuando 1 ninja que tu oponente controla declara un ataque contra "Baki". Destruye al ninja atacante (no se realiza calculo de daño)
Cartas de Informacion Ninja	DR1	cartas_de_informacion_ninja	Normal Spell					1		Espia 1 carta de tu mazo o del mazo del oponente que se encuentre en cualquier orden. Una vez utilizada, puedes regresar esta carta a tu mano en vez de enviarla al cementerio. Solo puedes utilizar esta carta 1 vez por turno
Examen de Seleccion Chunin	DR1	examen_de_seleccion_chunin	Continuous Spell					1		Mientras esta carta permanezca activa en el campo, ningun jugador podra invocar cartas de ninja que no sean del tipo "Genin" (excluye invocacion especial). Si antes de la activación de esta carta ya habian cartas que no son del tipo "Genin" en el campo, dichas cartas son regresadas a la mano de su respectivo dueño. Una vez por turno, puedes agregar 1 carta de "Examen Escrito", o "Prueba de Supervivencia" de tu mazo a tu mano. Mezcla el mazo posteriormente
Examen Escrito	DR1	examen_escrito	Continuous Trap					1		Una vez por turno, puedes robar 1 carta de "Examinacion" o "Decima Pregunta". Mezcla el mazo posteriormente. Por 6 turnos, ningun ninja de tipo Genin puede declarar ataques. Niega la activacion y efectos (en el campo) de cartas magicas/trampa con "Jutsu" en su nombre. No puedes activar esta carta si "Bosque de la Muerte" o "Torre del Bosque" se encuentran en el campo. Al pasar 6 turnos, envia esta carta al cementerio
Solicitud de Examen	DR1	solicitud_de_examen	Normal Spell					1		Busca en tu mazo hasta 3 cartas de ninja de tipo "Genin" con distinto nombre (sin importar su aldea) y agregalas a tu mano. En adicion, puedes agregar 1 carta de "Examen de Seleccion Chunin" de tu mazo a tu mano. Mezcla el mazo posteriormente
Combates Preliminares	DR1	combates_preliminares	Continuous Spell					1		La carta "Torre del Bosque" debe estar activa en el campo. Ambos jugadores deben desterrar el mismo número de cartas de ninja tipo "Genin" que controlen (si uno de los dos jugadores posee más cartas que el otro, envia las sobrantes al fondo de su mazo). Envia todas las cartas equipadas al mazo de sus respectivos dueños. No se podrá realizar invocación normal. Añade 1 "Ronda de Combates" de tu mazo a tu mano
Fin de los Preliminares	DR1	findelospreliminares	Normal Spell					1		Puedes enviar 1 carta de "Torre del Bosque", "Combates Preliminares", "Ronda de Combates" y "Panel de Encuentro" que se encuentren activas en tu lado del campo a tu Cementerio
Panel de Encuentro	DR1	panel_de_encuentro	Continuous Trap					1		Solo puedes activar esta carta si "Ronda de Combates" se encuentra activa en el campo. Tu y tu oponente deben invocar de forma especial 1 ninja de tipo "Genin" desterrado por el efecto de "Combates Preliminares". Cada jugador solo puede controlar 1 ninja en su lado del campo. Las cartas de ninja y no-ninja que destruyan a otras cartas en batalla son enviadas al fondo del mazo de su dueño junto con las cartas equipadas a ellos
Entrenamiento de Chakra	DR1	entrenamiento_de_chakra	Normal Spell					3		Roba 3 cartas de la parte superior de tu mazo
Moldeo de Chakra	DR1	moldeo_de_chakra	Normal Spell					3		Busca en tu mazo 1 carta magica normal que en su nombre contenga "Jutsu" y añadela a tu mano. Mezcla el mazo posteriormente
Ninjas de la Arena	DR1	ninjas_de_la_arena	Normal Spell					3		Selecciona 1 carta de "Sabaku no Gaara", "Sabaku no Temari", o "Sabaku no Kankuro" de tu mazo y añadela a tu mano. Luego mezcla el mazo
Ninjas del Sonido	DR1	ninjas_del_sonido	Normal Spell					3		Selecciona 1 carta de "Kinuta Dosu", "Abumi Zaku", o "Tsuchi Kin" de tu mazo y añadela a tu mano. Luego mezcla el mazo
Sonikkuamu	DR1	sonikuammo	Equip Spell					1		Equipa con esta carta a "Kinuta Dosu". Una vez por turno, busca en tu Mazo o Cementerio 1 carta de "Kyomeisen" y añadela a tu mano. Si lo haces desde tu mazo, mezclalo posteriormente
Arribo Forzado	DR1	arribo_forzado	Quick-Play Spell					2		Puedes activar esta carta para invocar de forma especial 1 carta de "Nara Shikamaru" de tu mano al campo. La carta invocada no podra ser atacada durante el turno en que fue activada esta carta

Encantos de Ino	DR1	encantos_de_Ino	Quick-Play Spell					1		Cuando tu oponente invoca de forma normal 1 carta de ninja masculino, puedes activar esta carta. El ninja invocado no podra atacar durante el turno en el que fue activada esta carta
Estratagema	DR1	estratagema	Normal Trap					1		Cuando una carta de ninja que tu oponente controla declara un ataque contra 1 carta de "Nara Shikamaru" que se encuentre en tu lado del campo, puedes activar esta carta. Niega el ataque
Ocultarse del Peligro	DR1	ocultarse_del_peligro	Continuous Spell					1		Selecciona 1 carta de "Nara Shikamaru" que controles y destierrala. Durante tu Main Phase de cualquiera de tus turnos, puedes enviar esta carta al Cementerio para regresar 1 carta de "Nara Shikamaru" desterrada por el efecto de esta carta
Sakura Florece	DR1	sakura_florece	Quick-Play Spell					1		Si controlas 1 carta de "Haruno Sakura" de nivel 4 en tu lado del campo, puedes reemplazarla por 1 carta de "Haruno Sakura" de nivel 5 que se encuentre en tu mano o mazo (si es en tu mazo, mézclalo posteriormente).
Trampa de Cabello con Chakra	DR1	trampa_de_cabello	Normal Trap					1		Debes controlar a "Yamanaka Ino" para activar esta carta. Selecciona 1 carta de ninja de tipo Genin que tu oponente controle: no podra atacar durante el turno en el que fue activada esta carta. En adicion, puedes añadir 1 carta de "Shintenshin no Jutsu" de tu mazo a tu mano. Mezcla el mazo
Haruno Sakura #2	DR1	sakura_haruno_lvl4	Konohagakure Genin/Efecto	Light	4	1000	950	3		Cuando esta carta es invocada con exito de forma normal en el campo, roba 2 cartas
Uchiha Sasuke #2	DR1	uchiha_sasuke_lvl4	Konohagakure Genin/Efecto	Fire	4	1150	1000	3		Durante la Battle Phase de tu turno, incrementa el ATK de esta carta en 200 puntos hasta el final del turno
Uzumaki Naruto #2	DR1	uzumaki_naruto_lvl4	Konohagakure Genin/Efecto	Wind	4	1050	950	3		Cuando esta carta es invocada al campo con exito, puedes agregar 1 carta de "Oiroke no Jutsu" de tu mazo a tu mano. Mezcla el mazo
Los Cuatro del Sonido	DR1	cuatrodelsonido	Otogakure Shinobi	Dark	4	1800	2000	3		"Los Cuatro del Sonido" son un grupo de cuatro Shinobis de elite, guardaespaldas de Orochimaur. Cada uno porta un sello maldito que les brindan oscuros poderes
Gaara Semi Shukaku	DR1	GaaraSemiShukaku	Jinchuriki/Efecto	Earth	5	1700	1900	1		Esta carta no puede ser invocada de modo normal. Debe ser convocada de modo especial sacrificando 1 carta de "Sabaku no Gaara" equipado con "Calabaza de Arena". El ATK de las cartas que ataquen a esta carta es reducido a la mitad
Shukaku Gaara	DR1	Shukaku_Gaara	Jinchuriki/Efecto	Wind	6	2000	2500	1		Solo puedes invocar esta carta de modo especial sacrificando a "Gaara Semi Shukaku". Cuando esta carta es invocada con exito, aumenta su ATK y DEF en 900 puntos. Esta carta no puede ser destruida como resultado de una batalla o por efectos de cartas magicas/trampa
Tres Gigantescas Serpientes	DR1	tresgrandesserpientes	Kyodaija/Efecto	Earth	9	3900	5600	1		Solo puedes invocar esta carta de modo especial por el efecto de "Kuchiyose no Jutsu". Debes controlar 4 "fichas Otogakure Shinobi" en el campo. Cuando esta carta es invocada con exito, destruye una carta magica continua de edificio que tu oponente controle
Yakushi Kabuto lvl 4	DR1	yakushikabutolvl4	Otogakure Shinobi/Efecto	Earth	4	1600	1450	3		Cuando esta carta es invocada con exito de forma normal, busca en tu mazo 1 carta de "Nehan Shoja no Jutsu" y añadela a tu mano. Mezcla el mazo
Orochimaru	DR1	orochimaru	Sannin/Efecto	Dark	8	2900	3100	1		Esta carta no puede ser invocada de modo normal. Debe ser invocada de modo especial por el efecto de "Disfraz de Kazekage". Cuando esta carta es invocada con exito, selecciona una carta de "Kuchiyose: Edo Tensei" de tu mazo y añadela a tu mano
Shodai Hokage	DR1	shodai_hokage	Edo Tensei Hokage/Ritual/Efecto	Earth	8	3500	4000	1		Solo puedes invocar a esta carta activando la carta de ritual "Kuchiyose: Edo Tensei". Mientras esta carta este presente en el campo, incrementa tus Life Points en 1000 puntos en cada una de tus Standby Phases
Nidaime Hokage	DR1	nidaime_hokage	Edo Tensei Hokage/Ritual/Efecto	Water	8	3450	4200	1		Solo puedes invocar a esta carta activando la carta de ritual "Kuchiyose: Edo Tensei". Cuando esta carta es invocada con exito, puedes robar desde tu mazo 1 carta de "Suiton: Suijinheki" y colocarla en tu mano. Mezcla el mazo
Kuchiyose: Edo Tensei	DR1	edotensei	Ritual Spell					1		Debes controlar a "Orochimaru" para activar esta carta. Invoca de forma especial, desde tu mano, hasta 2 cartas ninja de ritual de tipo "Edo Tensei", sacrificando 2 ninjas en tu campo cuyos niveles sean 8. Las cartas de ninja invocadas por esta carta no pueden ser destruidas en batalla o por efectos
Disfraz de Kazekage	DR1	disfraz_de_kazekage	Quick-Play Spell					1		Esta carta solo puede ser activada si sólo controlas 1 carta de ninja y si "Destruccion de la Aldea" se encuentra en tu lado del campo. Invoca desde tu mano 1 carta de "Orochimaru". No puedes realizar más invocaciones durante el turno en el que es activada esta carta
Destruccion de la Aldea	DR1	destruccion_de_la_aldea	Continuous Trap					1		Mientras esta carta siga activa en el campo, puedes invocar un numero ilimitado de "fichas Otogakure Shinobi" y "fichas Sunagakure Shinobi" en tu lado del campo. Puedes activar la carta "Disfraz de Kazekage". Si "Orochimaru" es enviado al cementerio o desterrado en turnos posteriores a la activacion de esta carta, destruye esta carta
Shishienjin	DR1	shishienjin	Continuous Trap					1		Debes controlar la carta "Los Cuatro del Sonido" para activar esta carta. Selecciona 1 carta de ninja que controles y 1 carta de ninja que tu oponente controle. Mientras esta carta este activa en el campo, las dos cartas seleccionadas solo podran atacarse entre ellas. Si una carta que no sea la carta designada declara un ataque contra tu carta, sera destruida. "Los Cuatro del Sonido" no podra atacar ni ser destruida
Nehan Shoja no Jutsu	DR1	nehan_shoja	Continuous Trap					1		Debes controlar a "Yakushi Kabuto" para activar esta carta. Mientras permanezca activa en el campo, ninguna carta de ninja de tu oponente puede declarar ataques, activar su efecto, o cambiar su posicion de batalla. Ninguna carta que involucre a ninjas en el campo de tu oponente puede ser activada. El efecto de esta carta no afecta a ninjas que sean invocados en turnos posteriores a la activacion de esta carta
Hiru Bansho: Boka no Jutsu	DR1	hirubanshobokanojutsu	Quick-Play Spell					1		Cuando un ninja que tu oponente controla declara un ataque contra "Orochimaur", puedes activar esta carta. Cambia a "Orochimaru" a posicion de defensa y reduce el daño de batalla a 0 hasta el final del turno en que fue declarado el ataque. Esta carta puede ser volteada boca abajo en vez de ser enviada al cementerio
Mokuton Hijutsu: Jukai Kotan	DR1	jukai_kotan	Continuous Trap					1		Debes controlar a "Shodai Hokage" para activar esta carta. Cuando esta carta es activada, destruye 1 carta de "Doton: Doryuheki" en el campo de tu oponente. Una vez por turno, puedes activar alguno de los siguientes efectos: Selecciona 1 carta de ninja que tu oponente controle: no podra atacar o cambiar su posicion de batalla. Cuando un ninja de tu oponente declara un ataque: niegalo
Kokuangyo no Jutsu	DR1	kokuangyo_no_jutsu	Continuous Trap					1		Debes controlar a "Shodai Hokage" para activar esta carta. Mientras esta carta permanezca activa en el campo, el oponente no podra atacar directamente a los Life Points. Durante la Battle Phase de su turno, el oponente debe lanzar una moneda a cara o cruz: Si el resultado es "cara", esta carta es destruida. Si el resultado es "cruz", el ataque se cancela y esta carta permanece en el campo
Kuchiyose no Jutsu	DR1	kuchiyosenojutsu	Quick-Play Spell					3		Puedes invocar de modo especial desde tu mazo o mano, 1 carta que requiera el uso de esta carta para ser invocada. Debes controlar a 1 ninja que este indicado en la carta a invocar. Debes pagar un costo de 500 Life Points multiplicados por el nivel de la carta a invocar
